,sector_actividad,count
211,telecomunicaciones seguridad audiovisuales,1
212,textil produccion instalacion productos proteccion solar,1
213,sector metal fontaneria calefaccion climatizacion reformas,1
214,CNAE 82 actividades apoyo empresas cnae,1
215,actividades fromacion reglada reglada,1
216,educacion servicios recreativos culturales servicios cuidado menores,1
217,carpinteria madera,1
218,actividades fomento bienestar colectivos vulnerables trabajando servicios sociales,1
219,dedicada actividad estampacion soldadura ensamblajes mercado engloba sectores automovil linea blanca elevacion cnae forja estampacion embuticion metales metalurgia polvos,1
220,fabricacion recubrimiento productos derivados alambre,1
221,social calatayud comarca extension comarcas colindantes,1
222,dispositivo digital aplicacion movil salud transportistas,1
223,diseno interiores mobiliario producto,1
224,mecanizacion,1
225,produccion audiovisual marketing audiovisual video fotografia,1
226,compraventa vehiculos recambios accesorios asi reparacion mismos,1
227,CNAE: 2829 sector metal cnae fabricacion maquinaria uso general ncop,1
228,empresa dedicada transporte especial surge enero apostamos claramente transporte especial forma general ofreciendo soluciones integradas mediante utilizacion transporte rodado gruas servicios transitarios faciliten cliente logistica completa transporte productos ello invertimos actualizamos forma constante equipos humanos transporte,1
229,diseno moda complementos sostenible,1
230,empresas consultoria desarrolladores software prevencion riesgos laborales,1
231,carpinteria metalica vallados puertas estructuras metalicas,1
232,centro medico privado especialidades medicas implantes dentales cirujia oral ortodoncia endodoncia microscopio electronico odontologia generalsedacion consciente estetica dental fisioterapia traumatologia medicina vascular medicina regenerativa psicologia anestesiologia reanimacion valoracion dano corporal carnet conducir reconocimientos aeronauticos salud sexual masculina,1
233,venta informatica telefonia imagen & sonido pequeno electrodomestico venta papeleria material escolar libros juguete regalo reparacion informatica telefonia servicio tecnico especializado particulares pymes adm locales,1
234,familias unidas fundacion animo lucro independiente vinculacion politica religiosa trabaja cooperacion solidaria paises vias desarrollo lleva cabo proyectos mejorar condiciones vida poblaciones mas desfavorecidas construyendo bases sociedad gestione propio modelo desarrollo integral sostenible familias unidas tambien trabaja ambito accion intervencion social pais traves gestion proyectos sociales educacionales especialmente aquellos contribuyen insercion social colectivos mas vulnerables educacion valores toma conciencia sociedad necesidad desarrollo sostenible ambitos principales actuacion i cooperacion desarrollo familias unidas lleva fomentando modelo desarrollo humano integral sostenible atienda necesidades basicas poblacion mas desfavorecida zonas prioritarias paises sur organizacion genere procesos economicos sociales ambientales desarrollo largo plazo asentado valores tolerancia respeto colaboracion substrato basico construir relaciones sociales nivel personal familiar comunitario ii sensibilizacion educacion desarrollo ciudadania global epdcg familias unidas lleva trabajando sensibilizar educar comunidad educativa aragonesa poblacion general diferencias interdependencias paises norte sur generar procesos reflexion transformacion hacia modelo sociedad mas sostenible economica social medioambientalmente iii accion social familias unidas lleva desarrollando programas dirigidos colectivos vulnerables situacion riesgo exclusion social mayoritariamente inmigrantes mujeres ejecutando programas especializados colectivo mujeres trabajadoras hogar cuidados promover integracion participacion sociedad igualdad derechos deberes resto ciudadania enlace web wwwfundacionfamiliasunidasorg hacemos,1
235,promocion desarrollo sector turistico nieve comunidad autonoma aragon,1
236,metal siderurgia,1
237,educacion superior universitaria,1
238,construccion edificacion industrial gestion obras,1
239,fabricacion elaboracion transformacion vino,1
240,organizacion presta diferentes servicios prestacion servicios legales empresas asesoramiento implementacion sistemas gestion proteccion datos igualdad imparticion diferentes tipos formacion metodologia on line presencial mixta funcion necesidades cliente,1
241,sector comercio mayor maquinaria mineria construccion ingenieria civil actividad venta alquiler maquinaria industrial,1
242,fontaneria instalaciones sistemas calefaccion aire acondicionado,1
243,corporacion upwards sa brembo espana empresa dedicada distribucion sistemas freno automocion parte grupo internacional brembo opera principalmente mercados espanol portugues,1
244,telecomunicaciones,1
245,empresa netamente aragonesa dedicada elaboracion encimeras cocina bano lapidas cualquier trabajo relacionado piedra natural materiales novedosos porcelanicos comunidades fachadas solados aplacados banos etc,1
246,formacion vial,1
247,imprenta gran formato,1
248,inar tecnologias ayudamos clientes desarrollar productos tic hardware firmware software optimizar procesos mediante uso iot monitorizando sensores propios terceros ofertando solucion optima cada escenario expertos sensores inalambricos ultrabajo consumo trabajamos distintas tecnologias inalambricas lora bluetooth wifi zigbee,1
249,sector alimentacion actividad principal procesamiento productos mar frescos posterior envasado bandejas atmosfera protectora,1
250,comunicacion organizacion eventos relaciones publicas diseno publicidad,1
251,consultoria innovacion estrategica agroalimentaria,1
252,forja estampacion embuticion metales metalurgia polvos,1
253,sector actividad textil,1
254,lefrig trabajamos principalmente siguientes ambitos epdgc cooperacion desarrollo intervencion social juridica politica,1
255,sector industria tecnologia servicios sector metal ensayos analisis tecnicos,1
256,asesoramiento tecnologico suministros productos servicios informaticos servicio postventa productos servicios informaticos,1
257,deporte salud,1
258,fabricacion productos quimicos distribucion equipacion piscinas,1
259,participacion ciudadana innovacion social conceptualizacion gestion produccion facilitacion proyectos eventos relacionados sector diseno formaciones planes estrategicos administraciones publicas,1
260,salud mental mentora entrenadora mental alto rendimiento reprogramacion mental formadora formadores,1
